,,,Work time,,Teilzeit,Teilzeit,Teilzeit,Teilzeit,Teilzeit,Teilzeit,Teilzeit,Teilzeit,Teilzeit,Teilzeit,Teilzeit,Teilzeit,Teilzeit,Teilzeit,Teilzeit,Teilzeit,Teilzeit,Teilzeit,Teilzeit,Teilzeit,Teilzeit,Teilzeit,Teilzeit,Teilzeit,Vollzeit,Vollzeit,Vollzeit,Vollzeit,Vollzeit,Vollzeit,Vollzeit,Vollzeit,Vollzeit,Vollzeit,Vollzeit,Vollzeit,Vollzeit,Vollzeit,Vollzeit,Vollzeit,Vollzeit,Vollzeit,Vollzeit,Vollzeit,Vollzeit,Vollzeit,Vollzeit,Vollzeit
,,,# Hires,,1,1,1,1,1,1,1,1,2-10,2-10,2-10,2-10,2-10,2-10,2-10,2-10,10+,10+,10+,10+,10+,10+,10+,10+,1,1,1,1,1,1,1,1,2-10,2-10,2-10,2-10,2-10,2-10,2-10,2-10,10+,10+,10+,10+,10+,10+,10+,10+
,,,Location,,Rural,Rural,Densification,Densification,Urban,Urban,Large city,Large city,Rural,Rural,Densification,Densification,Urban,Urban,Large city,Large city,Rural,Rural,Densification,Densification,Urban,Urban,Large city,Large city,Rural,Rural,Densification,Densification,Urban,Urban,Large city,Large city,Rural,Rural,Densification,Densification,Urban,Urban,Large city,Large city,Rural,Rural,Densification,Densification,Urban,Urban,Large city,Large city
,,,Trainee / Normal,,Trainee,Normal,Trainee,Normal,Trainee,Normal,Trainee,Normal,Trainee,Normal,Trainee,Normal,Trainee,Normal,Trainee,Normal,Trainee,Normal,Trainee,Normal,Trainee,Normal,Trainee,Normal,Trainee,Normal,Trainee,Normal,Trainee,Normal,Trainee,Normal,Trainee,Normal,Trainee,Normal,Trainee,Normal,Trainee,Normal,Trainee,Normal,Trainee,Normal,Trainee,Normal,Trainee,Normal
Joby Type German,Joby Type English,KldB Code,Hard/ Very Hard Classification,Final Base Budgets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Account-Manager/-in,account_manager,92133,Hard,"€1,000",€400,€700,€400,€700,€400,€800,€500,€900,€700,"€1,300",€700,"€1,300",€700,"€1,400",€800,"€1,600",€900,"€1,600",€900,"€1,600",€900,"€1,700","€1,000","€2,000",€500,€900,€500,€900,€500,"€1,000",€600,"€1,100",€800,"€1,600",€800,"€1,600",€900,"€1,800","€1,000","€2,000","€1,000","€2,000","€1,000","€2,000","€1,100","€2,200","€1,300","€2,500"
Altenpflegehelfer/-in,elderly_care_assistant,82101,,€700,€400,€400,€400,€400,€400,€500,€400,€600,€700,€700,€700,€700,€700,€900,€700,"€1,100",€900,€900,€900,€900,€900,"€1,100",€900,"€1,400",€400,€600,€400,€600,€400,€700,€400,€800,€700,"€1,100",€700,"€1,100",€700,"€1,300",€700,"€1,400",€900,"€1,400",€900,"€1,400",€900,"€1,600",€900,"€1,700"
Altenpfleger/in,geriatric_nurse,821,,"€1,100",€400,€800,€400,€800,€500,€900,€500,"€1,000",€700,"€1,400",€700,"€1,400",€800,"€1,600",€900,"€1,800",€900,"€1,700",€900,"€1,700","€1,000","€2,000","€1,100","€2,200",€500,"€1,000",€500,"€1,000",€600,"€1,100",€600,"€1,200",€900,"€1,800",€900,"€1,800","€1,000","€2,000","€1,100","€2,100","€1,100","€2,200","€1,100","€2,200","€1,300","€2,500","€1,400","€2,600"
Art-Direktor/-in,art_director,23294,Very Hard,"€1,000",€400,€700,€400,€700,€400,€800,€500,€900,€700,"€1,300",€700,"€1,300",€700,"€1,400",€800,"€1,600",€900,"€1,600",€900,"€1,600",€900,"€1,700","€1,000","€2,000",€500,€900,€500,€900,€500,"€1,000",€600,"€1,100",€800,"€1,600",€800,"€1,600",€900,"€1,800","€1,000","€2,000","€1,000","€2,000","€1,000","€2,000","€1,100","€2,200","€1,300","€2,500"
Arzt/Ärztin,doctor,814,Very Hard,"€1,000",€400,€700,€400,€700,€400,€800,€500,€900,€700,"€1,300",€700,"€1,300",€700,"€1,400",€800,"€1,600",€900,"€1,600",€900,"€1,600",€900,"€1,700","€1,000","€2,000",€500,€900,€500,€900,€500,"€1,000",€600,"€1,100",€800,"€1,600",€800,"€1,600",€900,"€1,800","€1,000","€2,000","€1,000","€2,000","€1,000","€2,000","€1,100","€2,200","€1,300","€2,500"
Arzthelfer/-in,doctor_s_assistant,81102,Hard,€800,€400,€500,€400,€500,€400,€600,€400,€700,€700,€900,€700,€900,€700,"€1,100",€700,"€1,300",€900,"€1,100",€900,"€1,100",€900,"€1,400",€900,"€1,600",€400,€700,€400,€700,€400,€800,€500,€900,€700,"€1,300",€700,"€1,300",€700,"€1,400",€800,"€1,600",€900,"€1,600",€900,"€1,600",€900,"€1,700","€1,000","€2,000"
