job_slot_id,job_id,company_id,job_type,working_hours_type,working_hours_normalised,normalized_city,location_normalised,job_type_id,total_credit_used,redeemed_at,expires_at,deactivated_at,gold_application_count,application_sent_count,normalised_planned_hires
82119,18063944,4340,accountant,full_time,Fulltime,Berlin,Large city,138,1000,,,,4,36,1
82021,25297206,4668,professional_driver,full_time,Fulltime,Havekost,Densification,166,1000,,,,9,6,1
82079,25167840,42459,construction_leader,full_time_part_time,Fulltime,München,Large city,269,1000,,,,8,39,1
80768,21495354,592710,machine_operator,full_time,Fulltime,Wassenberg,Urban,267,1000,,,,11,7,1
81930,25175262,4009,installer,full_time,Fulltime,Soltau,Rural,275,1000,,,,12,16,1
82043,11876154,141490,hr_manager,full_time,Fulltime,Germersheim,Urban,146,1000,,,,8,5,1
82058,21713972,559261,retail_salesman,full_time,Fulltime,Berlin,Large city,126,1000,,,,3,30,1
82094,25299820,4053,sales_clerk,part_time,Parttime,Großhansdorf,Urban,2,500,,,,5,35,1
82095,25299819,4053,sales_clerk,part_time,Parttime,Lütjensee,Urban,2,500,,,,1,36,1
80770,23169972,632550,mechanic,full_time,Fulltime,Egestorf,Urban,99,1000,,,,10,26,1
82140,25297221,658950,medical_staff,full_time_part_time,Fulltime,Berlin,Large city,171,1000,,,,9,9,1
82101,23398479,202342,clerk,full_time,Fulltime,Hammelburg,Rural,67,1000,,,,11,31,1
82120,18559729,4340,accountant,full_time,Fulltime,Berlin,Large city,138,1000,,,,5,40,1
82121,18061715,4340,hr_manager,full_time,Fulltime,Berlin,Large city,146,1000,,,,3,13,1
82080,25167892,42459,construction_leader,full_time_part_time,Fulltime,Nürnberg,Large city,269,1000,,,,14,35,1
82081,25168038,42459,engineer,full_time_part_time,Fulltime,München,Large city,277,1000,,,,8,5,1
82082,25168094,42459,engineer,full_time_part_time,Fulltime,Nürnberg,Large city,277,1000,,,,1,40,1
82083,25168147,42459,engineer,full_time_part_time,Fulltime,München,Large city,277,1000,,,,5,19,1
82084,25168229,42459,engineer,full_time_part_time,Fulltime,Nürnberg,Large city,277,1000,,,,12,38,1
82049,25299551,529248,service_person,full_time,Fulltime,Berlin,Large city,137,1000,,,,1,10,1
82022,20212493,101128,electrician,full_time,Fulltime,Gaildorf,Densification,80,1000,,,,1,27,1
82071,2601632,4260,installer,full_time,Fulltime,Schwetzingen,Urban,275,1000,,,,10,5,1
